texto,label_real,label_texto,predicao
"Muito bem Alexandre, continue a nos representar na imprensa brasileira, porque parte dela não sei que pensa, mas querem a desgraça do Brasil, será porque foi cortado alguns privilégios que tinham? A imprensa que você de privilégios de governos é porque não tem capacidade e nem qualidade. No Brasil a faze cubana, chavista e comunista tá com os dias contados e se Deus quiser vai zerar e estas desgraças, como Lula, José Dirceu, Dilma e seus comparsas vai sumir do mapa igual os dinosauros pré histórico,",1,Ofensivo,Ofensivo
MENTIROSA NÃO MERECE RESPOSTA PORQUE A SUA PERGUNTA JÁ É UMA MENTIRA QUE FALA POR SI SÓ. CHUPA GLOBOLIXO!😡🤜💥🐀💨👉,1,Ofensivo,Ofensivo
"Esse programa já foi melhorzinho, bando de cretinos",1,Ofensivo,Ofensivo
"Estão arroxados, a TETA secou🤣🤣🤣🤣🤣🤣🤣onde está Paulo Pimentel , Gleice Hoffman e essezinho aí, pode esperar... DESESPERO DE CAUSA. Estão oprimidos tadinhos.Deixe ""eis""",1,Ofensivo,Ofensivo
Que corja asqueirosa.,1,Ofensivo,Erro
Outra pilantra!,1,Ofensivo,Erro
🇧🇷JAIR MESSIAS BOLSONARO🇧🇷 O VERDADEIRO PRESIDENTE DO BRASIL 🙌🇧🇷🙌,0,Não-ofensivo,Ofensivo
Bandido!! 👹 Deus nós livre desse capeta em carne e osso.,1,Ofensivo,Ofensivo
"Esse congresso só trabalha contra o país. E por acaso são intocáveis? Ninguém consegue fazer nada???? Ninguém pode fazer nada? É isso??? Estamos estamos refém de representantes #corruptos, que ao invés de olhar para o seu povo , só trabalham com viés políticos e para seus próprios umbigos. O presidente não tem poder para nada??? É isso mesmo???",1,Ofensivo,Ofensivo
"O Congresso, Senado e o STF perderam o respeito pelo povo Brasileiro.",0,Não-ofensivo,Não-ofensivo
Isso é um escroto. Velho safado.🤮,1,Ofensivo,Ofensivo
"Ministro, por favor, cuide da reestruturação da carreira dos Técnicos Administrativos em Educação (TAEs) dos Institutos e Universidades Federais. Somos a carreira com piores salários e a mais desprestigiada, acumulamos perdas inflacionárias acima de 50%, mais perdas até que os docentes. Nós fizemos campanha no Brasil Participativo. Ficamos com zero de reajuste no vencimento básico para 2024, hoje ganhamos metade do que ganhávamos (em salários mínimos). Isso é verg0nhoso, ajude nossa carreira para que ela não acabe, pois cada vez mais servidores estão indo embora da carreira. Por favor, não esqueça! @estherdweck_ @camilosantanaoficial @lulaoficial @fernandohaddadoficial",1,Ofensivo,Ofensivo
Seria tão bom se esses filhos do Bolsonaro ficassem calados para sempre!!!!,1,Ofensivo,Ofensivo
O STF acaba com qualquer bom sonho dos Brasileiros !!Vermes .,1,Ofensivo,Ofensivo
Acho pouco quem mandou votar,0,Não-ofensivo,Erro
Essa passou na fila da beleza várias vezes 😍,0,Não-ofensivo,Erro
Cadê as forças armadas!!!!!Socorro!!!!!,1,Ofensivo,Erro
Esse Sílvio santos é um VERME. U criminoso. Onde estava a VACA da Damares protetora da família. Essa pilantra não defende família coisa nenhuma.,1,Ofensivo,Ofensivo
Inacreditável mesmo!,0,Não-ofensivo,Erro
Vocês falarem em roubo é uma comédia. #ptcorrupto #ptlixo,1,Ofensivo,Ofensivo
"O presidente Lula tem que fazer alguma coisa pelos aposentados! Os aposentados precisam de ter seus benefícios reajustados. O governo anterior não fez nada pelos aposentados. Estamos aguardando o Presidente Lula, pois também somos eleitores! Nossos benefícios estão super defasados!",0,Não-ofensivo,Não-ofensivo
VC deveria ser o presidente!,0,Não-ofensivo,Erro
"Boa pergunta, #CarlaZambelli!!!!",0,Não-ofensivo,Erro
"Carta Capital!!!! É lixo!! Escrotos, Mal Amados, Vagabundos, Ordinários, Salafrários, Dementes, Demônios...e ficaria o dia todo escrevendo sobre vcs seus fdps #cartacapitallixo",1,Ofensivo,Ofensivo
"Otária, BABACA.",1,Ofensivo,Erro
Vcs tem rabo preso com a @joicehasselmannoficial por isso não conseguem parar ela. Com certeza vcs tem acordos inacabados. Política continua suja.só mudou da esquerda pra direita. É uma pena,1,Ofensivo,Ofensivo
"Parabéns, vc merece 👏👏👏👏",0,Não-ofensivo,Não-ofensivo
Absurdo VERGONHA!!!,1,Ofensivo,Erro
Ele lá sabe disso tudo! Ele é burro e chucro kkk,1,Ofensivo,Ofensivo
"Não estou nem um pouco preocupado com a Greta, vão procurar o que fazer, parem de lacrar na fala dias outros, vão trabalhar. greta pra mim é o espaço entre dois objetos. Nada mais quer isso",1,Ofensivo,Não-ofensivo
👏👏👏 #Lula livre Simm,0,Não-ofensivo,Erro
Vagabunda fingida...,1,Ofensivo,Erro
"Parabéns Eduardo. O povo precisa muito de vcs deputados do bem, que tem compromisso com o povo brasileiro 👏👏👏",0,Não-ofensivo,Erro
"Esquerdista agora fala em democracia porque levou uma surra no voto, assim como vagabundo jura por Deus depois de um tapa na lateral.🤣",1,Ofensivo,Ofensivo
"@paixao_fortes uma sociedade sem estado é um puteiro em guerra civil onde nada tem gestão, governança e nem controle. É por isso que o comunismo é totalmente inviável e só funcionava na cabeça do Marx! É por isso que nenhum Estado socialista alcança a máxima do comunismo, é por isso que nenhum Estado comunista é realmente implantado em sua totalidade!",1,Ofensivo,Ofensivo
"Vale lembrar q a vitória não será (apenas) de Cristina, será primeiramente de Alberto e mais ainda da esquerda. E Cristina diferente do líder daqui não foi egoísta e soube ceder e ter humildade de reconhecer o alto índice de rejeição que podia ter, e colocou em primeiro lugar o país e não a pessoa ou o partido. Que saibamos aprender!",0,Não-ofensivo,Não-ofensivo
🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷 jamais desistir,0,Não-ofensivo,Não-ofensivo
"Esse sim é um Ministro da Fazenda, não aquele ypiranga de meia tigela",1,Ofensivo,Ofensivo
Cada uma viu ninguém merece já chega,0,Não-ofensivo,Erro
"Pra qualquer Zé Mané é cadeia, todo rigor da lei, já pra bandido que arrasa o país, que desvia milhões, bilhões de reais de dinheiro público, que faz falta nos hospitais, nas creches, na segurança, aí esses canalhas não fazem nada, ou melhor, são totalmente coniventes e até participantes. Querida @carla.zambelli acho que o presidente deveria entregar o país para o Exército, só assim esse Congresso satânico seria fechado, o STF destituído e esses canalhas presos ou expulsos do Brasil. Não vejo outra saída.",1,Ofensivo,Ofensivo
Ninguém vai calar essa imundice?,1,Ofensivo,Ofensivo
Depravado e escroto 😬😬😬,1,Ofensivo,Erro
"Vão colocar a #globolixo, #bandlixo e #folhadesaopaulolixo na cadeia?",1,Ofensivo,Ofensivo
O próximo a perder será o Trump👐👐,0,Não-ofensivo,Erro
"Nojo!!!! Mas a família tradicional brasileira adora, não é? Muita hipocrisia!!! 🤮🤮🤮",1,Ofensivo,Ofensivo
"Tem que divulgar a lista dos parlamentares que derrubaram o veto, e o povo tem que fazer barulho e nas próximas eleições derrubar a todos eles nas urnas, é hora de dar um basta em tudo isso.",0,Não-ofensivo,Ofensivo
Golpistas e agora os facistas..,1,Ofensivo,Erro
"ué @carla.zambelli , nera pra parar de falar e dar hibope pra essa daí?? você nos pediu isso e agira ta aí, fazendo o que ela quer .",0,Não-ofensivo,Ofensivo
#globolixo gosta de passar uma vergonha! 😂😂😂😂,1,Ofensivo,Ofensivo
Esta foto é demais. Dois grandes mestres .❤️❤️❤️❤️👏👏👏,0,Não-ofensivo,Não-ofensivo
OS HOMENS BOLSONARO TODOS SÃO LINDOS PUXOU O PAI,0,Não-ofensivo,Ofensivo
"Noh coisa feia duas deputadas do mesmo partido , com essas brigas sem fundamento.",0,Não-ofensivo,Não-ofensivo
ESSE GOVERNO É O PIOR DE TODOS !!!! VOCÊ E SUA TURMA NÃO MERECEM ESTAR AI! VOCÊ É PODRE,1,Ofensivo,Ofensivo
"Falso Cristão , nenhuma novidade, com sua dentadura da vaidade...",1,Ofensivo,Ofensivo
Nem sei mais o que falar.,0,Não-ofensivo,Erro
Parabéns senhor governador Tarcísio de Freitas o melhor governador de todos os tempos 🇧🇷🇧🇷🇧🇷 Deus o abençoe e proteja sempre 👏👏👏,0,Não-ofensivo,Erro
Unidos venceremos!,0,Não-ofensivo,Erro
"Bom e assim , xupa bolsomions .....papaguns",1,Ofensivo,Erro
Esse ladrão tem que voltar pra onde ele nunca deveria ter saído,1,Ofensivo,Erro
Ela é ótima jornalista 🌺,0,Não-ofensivo,Erro
Gasolina com preço surreal e no mercado as coisas cada vez mais caro... E políticos cada vez mais rico. Só safado,1,Ofensivo,Ofensivo
"Porém, ele está certo, bandidos tem q ser tratados como bandido. AI-que dor.🇧🇷🇧🇷🌴🌴",1,Ofensivo,Ofensivo
Realmente a hipocrisia está estampada na cara de pau 👎👎👎👎,1,Ofensivo,Ofensivo
Que orgulho olha a postura desses alunos 🇧🇷🇧🇷🇧🇷🇧🇷❤️🙏💓💓💓,0,Não-ofensivo,Erro
Maravilhoso! Nosso futuro presidente!!!,0,Não-ofensivo,Não-ofensivo
Parabéns Governador Tarcísio você representa o povo Brasileiro do bem.,0,Não-ofensivo,Erro
Dilma jumenta,1,Ofensivo,Erro
"A sua pena do Brasil a gente dispensa , porque voce nunca expressou nenhuma pena quando seus amigos saqueavam o Pais criando a maior crise institucional no Brasil com milhões de desempregados",1,Ofensivo,Ofensivo
Essa culpa eu não carrego e me admira muito que tem pessoa que acham que é o certo.....depois não reclamem de trabalhar de graça .....,0,Não-ofensivo,Ofensivo
Esse cara só evacua pela boca?,1,Ofensivo,Ofensivo
Juntando duas excelência!!,0,Não-ofensivo,Erro
O que é isso? É a luxuria em forma de homem?,0,Não-ofensivo,Ofensivo
Tentando entender a relação Argentina - RS além da proximidade geográfica.,0,Não-ofensivo,Não-ofensivo
Tem que acabar com este verme e expulsar comunistas,1,Ofensivo,Ofensivo
"Poxa, era só ele sair do armário... quem sabe passava essa raivinha toda.",1,Ofensivo,Ofensivo
"Seria muito bom voltar a trabalhar e vc e ele ou quer quem seja, parar de fofoquinha",1,Ofensivo,Erro
Parabéns aos argentinos por ter escolhido o lado certo,0,Não-ofensivo,Erro
"Bolsonaro tem razão , essa Greta é uma pirralha mimada",1,Ofensivo,Ofensivo
Melhor coisa do mundo gente imparcial 😍,0,Não-ofensivo,Erro
Nunca vi um presidente não mandar no país e não ser respeitado em suas decisões,0,Não-ofensivo,Erro
Ansiosa pra assistir!,0,Não-ofensivo,Erro
Bem vindos todos os ermanos!!!!😍😍,0,Não-ofensivo,Não-ofensivo
Em toda minha vida nunca vi ninguém mais inteligente e adequado como vc assisto quando posso todas suas entrevistas amo os Bolsonaros sempre pra frente Brasil,0,Não-ofensivo,Erro
"maravilhosaaa, icone ecossocialista!! não se deve manter um sistema de crescimento infinito quando se tem recursos finitos e quase extintos.",0,Não-ofensivo,Não-ofensivo
Dessa vez concordo com vc,0,Não-ofensivo,Não-ofensivo
"Mentira vcs não conseguirão tirar a base do presidente que são os filhos e o povo. Bolsonaro 2022 e parabéns a família Bolsonaro. Ficamos com um patriota de 28 anos de Parlamento sem se corromper, o restante que são oportunistas faremos uma faxina na próxima eleição.",1,Ofensivo,Ofensivo
@paulodaniel1975 hehehe...bom msm é ver gado bravo sem argumentos pra defender genocida😂,1,Ofensivo,Ofensivo
Totalitarismo não passará.,0,Não-ofensivo,Erro
"Sou obrigado a concordar @joicehasselmannoficial e @janainacpaschoal infelizmente os filhos tem prejudicado e muito o pai, torço muito pelo governo do @jairmessiasbolsonaro pois acredito que ele pode levar o Brasil para novos rumos, mas Jair manda seus filhos calarem a boca, já virou um saco a ptzada de mimi usando as falas deles pra deturpar o bom andamento das coisas, nós agradecemos imensamente🙌🙌🙌",1,Ofensivo,Ofensivo
"Parabéns, mulher de verdade!",0,Não-ofensivo,Erro
Que lindo adorei,0,Não-ofensivo,Erro
Benedita como sempre!!!!! Arrebentando!!!!👏👏👏👏,0,Não-ofensivo,Não-ofensivo
Todo sofrimento pra corno é pouco,1,Ofensivo,Ofensivo
Os filhos do Bolsanario não merece este pai,0,Não-ofensivo,Ofensivo
Bando safado,1,Ofensivo,Erro
"Assim como no Brasil elegem, caneta azul a música do ano, lá fora eles elegem uma criança a personalidade... 🙈🙉🙊",0,Não-ofensivo,Ofensivo
"Pirralha 😂😂😂 não sabe de nada, e essas postagens dela são assessoradas por pessoas que estão patrocinando essa pirralha. Ela não sabe nem onde fica o Brasil. Pelo amor Deus! 😂😂😂",1,Ofensivo,Ofensivo
"@bolsonarosp por favor vamos evitar polêmica é tudo que a esquerda quer, combustível p provocar incêndio..🤔",0,Não-ofensivo,Ofensivo
E pensar que tem pessoas que acham isso normal,0,Não-ofensivo,Erro
Esse é um falso moralista pasator de satã.,1,Ofensivo,Ofensivo
"Hipócrita,vai procurar tua turma. O BRASIL não precisa da tua pena.",1,Ofensivo,Ofensivo
"Se essa lei for seria, a #globolixo que se cuide ...",1,Ofensivo,Ofensivo
Pena pq a boquinha secou né sua socialista de merda!!!! 👊🏻👊🏻👊🏻,1,Ofensivo,Ofensivo
Meu Deus será se o Elon Musk vai ser preso😢,0,Não-ofensivo,Erro
"Seria mais correto fixar o salário mínimo em R$3000,00 primeiro.",0,Não-ofensivo,Erro
A prisão do lula .só o deixou mais inteligente .leu vários livros 👏👏,0,Não-ofensivo,Erro
"Dá-lhe Cristina, dá-lhe Manu... Lula livre já👏❤️",0,Não-ofensivo,Erro
"Parabéns, assim corrigimos o nosso querido Brasiiiiiiil",0,Não-ofensivo,Erro
Eles são assim...matam a pessoa e acusar a polícia de chegar atrasado .... quem cometeu o crime ela não quer nem saber né?,1,Ofensivo,Ofensivo
Joice mente tão bem que até mesmo ela acredita na própria mentira. Triste fim. Triste 😔,1,Ofensivo,Ofensivo
"Louco, louco. Prendam esse desequilibrado comunista",1,Ofensivo,Ofensivo
"@mariade4537lourdes pessoal, deixa a esquerdofrenica aqui, com os 40 seguidores...😂😂😂 ajuda a dar engajamento e a crescer as páginas de direita!!!😂😂😂",1,Ofensivo,Ofensivo
"Cretino este homem. Ele é do mal, cada dia mais tem provado isso. Mas Deus é Senhor, e há de dar a vitória a quem O segue! #bolsonaro",1,Ofensivo,Ofensivo
Muito obrigada vs Experiência a senhora é a minha voz .,0,Não-ofensivo,Não-ofensivo
Estamos juntos! Somos Brasil! Somos de todas as cores!,0,Não-ofensivo,Erro
"Isso é verme, um ascaroso.",1,Ofensivo,Erro
"@fernandohaddadoficial Me entrevista tbm, por favor! ❤️",0,Não-ofensivo,Não-ofensivo
Maioria dos Brasileiros que estão nos presídios do País! 👉LULALADRAO É O MANDANTE DA TORTURA E ASSASSINATO DO CELSO DANIEL. CABULOSO!,1,Ofensivo,Ofensivo
Concordo. Só fala merda,1,Ofensivo,Ofensivo
O presidente tem toda razão é uma pirralha sim !,1,Ofensivo,Ofensivo
"Grande Lula, sempre cercado de gente boa e inteligente. L",0,Não-ofensivo,Erro
"Menininha sororizada, está ainda nas fraldas, Joyce sabe bem onde os caminhos que trilhamos nos levam. Acho desnecessário tanto ódio e caretas no discurso dessa mocinha.",1,Ofensivo,Não-ofensivo
Tem q prender todos os petistas psolistas pcdobistas etc.,1,Ofensivo,Ofensivo
Canalha vagabunda amiga de ditaduras,1,Ofensivo,Ofensivo
"É muito importânte, investir com fôrça na Educação no Brasil.",0,Não-ofensivo,Erro
"Aproveita dona Joice, que é só está vez o povo brasileiro acordou",0,Não-ofensivo,Ofensivo
"Pelas atitudes deste cidadão só pode ser ateu, como todos os comunistas!",1,Ofensivo,Ofensivo
Tenho mais nojo de quem votou nesse jegueeeeeee..ahhh vc votou vai aqui o meu FODA_SE pra vc ...🤗🤗🤗🤗,1,Ofensivo,Ofensivo
Se eu pudesse curtia até 2090! Aaah que lindo❤️,0,Não-ofensivo,Erro
Parabéns presidente LULA pir mais um brilhante incentivo aos alunos da escola pública 👏👏👏👏👏👏,0,Não-ofensivo,Erro
Quem decide o que é FAKE-NEWS? Esse é o verdadeiro perigo.,0,Não-ofensivo,Erro
É tudo que a esquerda quer. Só eles são favorecidos com tudo isso,0,Não-ofensivo,Ofensivo
"Agradecemos, o hospital de base, socorre milhares de pessoas da cidade e toda a região.",0,Não-ofensivo,Erro
Daí a filha ter um marido e um filho a cada ano passar sem comentário pq é rica se fosse pobre era irresponsável ou coisa pior que dizem com as mulheres populares ...,1,Ofensivo,Ofensivo
Maldosa heim kkkkk😂 putona,1,Ofensivo,Erro
É muito mimimi. Eu não aguento essa merda,1,Ofensivo,Erro
Meu Deus! Alguém interna esse homem.,1,Ofensivo,Erro
"Joyce não terá uma vida apolítica longa, não podemos nos enganar mais com ela, é muito ganância por poder, os próprios colegas não confiaram nela.",1,Ofensivo,Ofensivo
"A base tem que ser a honestidade, a lisura e com nosso presidente, Bolsonaro diz: Deus acima de tudo!",0,Não-ofensivo,Ofensivo
Esse verme tem que ir preso de verdade. Ele está tentando fazer uma revolução em nosso país. Não é possível que ninguém está vendo isso....😡💪🏼,1,Ofensivo,Ofensivo
Só maracutaia!!!,1,Ofensivo,Ofensivo
"Dando o exemplo, pra quem devia ser o exemplo",0,Não-ofensivo,Erro
@mcarolinabau amiga vc viu essa merda?,1,Ofensivo,Ofensivo
Esse CANALHA já devia ter voltado para a cadeia de segurança máxima.,1,Ofensivo,Ofensivo
Bom dia minha linda aproveito suas postagens para dizer que TMJ gratidão! Quero agradecer a todos que colabararam direto e indiretamente para o acontecimento dessa audiência em defesa das nossas crianças! Com foco na vulnerabilidade da crianças e adolescentes e sobre a criação de um novo conselho tutelar para Juazeiro!,0,Não-ofensivo,Não-ofensivo
Parabéns querido e competente Haddad! Medalha mais que merecida! 👏👏👐👐❤️❤️,0,Não-ofensivo,Erro
Esse bostonaro desconhece a soberania e autonomia dos povos? Será que ele acha que os países civilizados apoiavam sua candidatura?,1,Ofensivo,Ofensivo
boa noite presidenta Glesihoffmann,0,Não-ofensivo,Não-ofensivo
O Brasil está no caminho certo! Parabéns presidente Bolsonaro parabéns a todas as equipes de ministros que compõem a sua equipe!!👏🏼👏🏼👏🏼,0,Não-ofensivo,Erro
"Qual é o mérito farroupilha? Porongos? Até o véio da havan ganhou essa medalha, qual é o critério para recebê-la?",1,Ofensivo,Ofensivo
O Brasil vai dá certo!!!👏👏👏👏🇧🇷🇧🇷🇧🇷🇧🇷,0,Não-ofensivo,Erro
Essa pirralha é manipulada!!,1,Ofensivo,Erro
Tenho a convicção que a esquerda está dando MAIS um tiro no pé!!! ESSE modus operandi de fake News é típico da esquerdalhada !!!,1,Ofensivo,Ofensivo
"Não podemos mais nem compartilhar?Como vamos saber o que é mentira ou verdade?Eu disser que a esposa do Macron é muito feia,eu@poço ser punida?é FAKE?",1,Ofensivo,Ofensivo
Esse dinheiro sujo!,1,Ofensivo,Erro
"Alô penalistas, seriam CRIMES PERMANENTES cometidos por A. Moraes, Fachin, Barroso, Toffoli, Dino e o resto da quadrilha, por interferência e manipulação (fraude?) direta nas eleições de 2022, prisão ilegal de brasileiros no 08/01, muitos idosos, doentes e trabalhadores e que morreram na prisão, sem processo, sem defesa, sem provas e sem competência do Supremo para processar e julgar, por perseguição política a Bolsonaro e família, a aliados e apoiadores…???",1,Ofensivo,Ofensivo
"Vi isto desde o começo, o pior cego é aquele que não quer enxergar",0,Não-ofensivo,Ofensivo
Ah pronto. Mas hoje era dia de falar?,0,Não-ofensivo,Erro
"E se políticos fizerem fake serão punidos com prisão também, ou essa lei é só pra pessoas comuns",0,Não-ofensivo,Ofensivo
Juntos com Elon Musk!🙌,0,Não-ofensivo,Erro
Futuro presidente em 2022 Fernando haddad,0,Não-ofensivo,Erro
Estão brigando por poder e não pelo Brasil,0,Não-ofensivo,Erro
"Perdi alguma coisa? @jairmessiasbolsonaro @bolsonarosp - Amanhã, terça-feira, em audiência com os governadores da região Amazônica, vou abrir essa caixa preta. - Transmitirei via LIVE a reunião.",0,Não-ofensivo,Não-ofensivo
Que venham outras prisões,0,Não-ofensivo,Erro
"Deixa, o povo da esquerda vai ter que ir todo pra cadeia nas eleições",1,Ofensivo,Ofensivo
Concordo com o Presidente.,0,Não-ofensivo,Não-ofensivo
Disse uma das maiores terroristas do Brasil.,1,Ofensivo,Ofensivo
Pastor miliciano🙌,1,Ofensivo,Erro
"Pelamor, se juntem pra fazer algo pela ciência e educação nesse país",0,Não-ofensivo,Não-ofensivo
"Mas, os LIXOS da esquerda insistem em querer enganar as pessoas nenos esclarecidas!!",1,Ofensivo,Ofensivo
"Por favor, ajude na proibição da exportação de CARGA VIVA 🙏",0,Não-ofensivo,Não-ofensivo
Só não vê quem não quer!! #lulalivre❤️🙌,0,Não-ofensivo,Erro
Tá apaixonada? Vira o disco😂,0,Não-ofensivo,Erro
"@adelaineadv Tá eleita, comentário do ano!😂😂😂",0,Não-ofensivo,Erro
O Sul representa!,0,Não-ofensivo,Erro
"Acredito ser apenas o início, deve ter mais gente envolvida. Importante sabermos os motivos desse crime hediondo",0,Não-ofensivo,Erro
Bota tudo em uma jaula!!!!! Bando de louco!! Gente demente. 🙄,1,Ofensivo,Ofensivo
"É triste esses esquerdistas são doentes e as faculdades estão formando jornalista sem ética,caráter e pudor. 💩👺",1,Ofensivo,Ofensivo
❤️❤️❤️❤️❤️❤️❤️Eu amo muito você vs Experiência com todo meu Respeito a você. Parabéns parabéns parabéns parabéns parabéns parabéns parabéns parabéns parabéns parabéns,0,Não-ofensivo,Erro
Pelo amor de Deus ajeita esse FGTS que fica bloqueado quando a pessoa saco de aniversário,0,Não-ofensivo,Ofensivo
Ou derruba esse congresso e STF ou o Brasil será derrubado.,1,Ofensivo,Ofensivo
Todo apoio a deputada Benedita Silva todo meu repúdio a esse Tadeu que não representa😂a nação brasileira,0,Não-ofensivo,Ofensivo
AMO ESSE GORDOOO e vc tabm haha ❤️❤️❤️,0,Não-ofensivo,Erro
Parabéns Benedita você me representa,0,Não-ofensivo,Erro
A jumenta Rousseff 🤣🤣🤣🤣🤣🤣🤣,1,Ofensivo,Erro
"@manueladavila mas pelo menos a cada ano, pq eu não resisto e assisto sempre, os organizadores vêm aumentando os momentos de fala e expressão de conquistas e personalidade das candidatas além da beleza... Ainda são muitas falas de efeito, c/ conteúdo ""midiático"", mas algumas estão muito sensatas e empoderadoras APESAR do contexto ""concurso de beleza""...",0,Não-ofensivo,Não-ofensivo
Somos todos BOLSONARO!!se não é caiu fora mané!,1,Ofensivo,Ofensivo
🤣🤣🤣🤣🤣ser desmentida ao vivo não tem preço!!!🤣🤣🔝🇧🇷,1,Ofensivo,Erro
O pior é ouvir dele: chega de estudiosos e especialistas no Brasil. 😣 Dá para acreditar... O que eles querem meu Deus? O que o povo quer? Ser massa de manobra? Pagar para eles viverem a que preço? De novo isso? Acho que já passou a era das cavernas né?,0,Não-ofensivo,Ofensivo
Avante Brasil 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷 #BolsonaroPresidente2022🇧🇷,0,Não-ofensivo,Erro
E ela ainda continua: os olhos da nova geração estão sobre vocês. Continuem falhando e nós nunca iremos perdoar vocês.,0,Não-ofensivo,Ofensivo
Só gente débil vota numas carniça dessas,1,Ofensivo,Ofensivo
"Esses esquerdopatas estão amarrados, amordaçados; estão vencidos e destruídos em Nome dO Senhor JESUS CRISTO 🙏AMÉM E AMÉM 🙏",1,Ofensivo,Ofensivo
Nossos melhores Patriotas 🇧🇷💚💛🇧🇷 continuam lutando por todos nós 🙏 obrigado 🫂 por tudo que estão fazendo 👏 Deus abençoe a cada um 🙏💚💛💚💛💚💛💚💛💚💛💚💛💚🙏,0,Não-ofensivo,Não-ofensivo
É pirralho mesmo!,1,Ofensivo,Erro
Os filhos do Presidente só criam problemas .... corta a mesada deles ....,0,Não-ofensivo,Ofensivo
"A @manueladavila é contra esteriótipos, mas fez lipo quando era gorda e hj ela diz pra vc mulher se aceitar como vc é! Kkkkkkkk",1,Ofensivo,Ofensivo
Falso profeta....Isso eu sempre soube...Nunca gostei da tua cara.,1,Ofensivo,Ofensivo
"Não precisamos da pena de ninguém ,ainda mais dessa desqualificada ,guarde ela ,as muitas penas que tem pra si mesma 🐔, #Bolsonaro2022 ,sem mais .....",1,Ofensivo,Ofensivo
"Cidadão de bem agradece, elegemos @jairmessiasbolsonaro para colocar ordem no país e não ficar mais com esse mimi... Cidadão de bem será o beneficiado!!",0,Não-ofensivo,Ofensivo
Eu não fui entrevistado! Mas estou muito confiante com essas mudanças graças a família Bolsonaro!🙏🏻🙏🏻 que Deus os guie nessa jornada!,0,Não-ofensivo,Ofensivo
O melhor presente que o Brasil já teve Jair Bolsonaro,0,Não-ofensivo,Erro
"Obrigado deputada, continue defendendo nossa classe.",0,Não-ofensivo,Não-ofensivo
Esse é nosso presidente Bolsonaro ❤️😍🇧🇷👏👏 é cheque mate,0,Não-ofensivo,Ofensivo
Creio que ainda vou ver 90% das escolas passar para a administração militar. Ordem e progresso .,0,Não-ofensivo,Erro
"Boa noite meu deputado , verifica por gentileza o fundo de contratação para imóveis minha casa minha vida da caixa , pois está sem verba já faz um mês .. todos os construtores e corretores estamos sofrendo muito com essa situação!!",0,Não-ofensivo,Não-ofensivo
Verme parasita🤮,1,Ofensivo,Erro
