texto,label_real,label_texto,predicao
"Parabéns, vc merece 👏👏👏👏",0,Não-ofensivo,Não-ofensivo
Absurdo VERGONHA!!!,1,Ofensivo,Ofensivo
Ele lá sabe disso tudo! Ele é burro e chucro kkk,1,Ofensivo,Ofensivo
"Não estou nem um pouco preocupado com a Greta, vão procurar o que fazer, parem de lacrar na fala dias outros, vão trabalhar. greta pra mim é o espaço entre dois objetos. Nada mais quer isso",1,Ofensivo,Ofensivo
👏👏👏 #Lula livre Simm,0,Não-ofensivo,Não-ofensivo
Vagabunda fingida...,1,Ofensivo,Ofensivo
"Parabéns Eduardo. O povo precisa muito de vcs deputados do bem, que tem compromisso com o povo brasileiro 👏👏👏",0,Não-ofensivo,Não-ofensivo
"Esquerdista agora fala em democracia porque levou uma surra no voto, assim como vagabundo jura por Deus depois de um tapa na lateral.🤣",1,Ofensivo,Ofensivo
"@paixao_fortes uma sociedade sem estado é um puteiro em guerra civil onde nada tem gestão, governança e nem controle. É por isso que o comunismo é totalmente inviável e só funcionava na cabeça do Marx! É por isso que nenhum Estado socialista alcança a máxima do comunismo, é por isso que nenhum Estado comunista é realmente implantado em sua totalidade!",1,Ofensivo,Ofensivo
"Vale lembrar q a vitória não será (apenas) de Cristina, será primeiramente de Alberto e mais ainda da esquerda. E Cristina diferente do líder daqui não foi egoísta e soube ceder e ter humildade de reconhecer o alto índice de rejeição que podia ter, e colocou em primeiro lugar o país e não a pessoa ou o partido. Que saibamos aprender!",0,Não-ofensivo,Não-ofensivo
🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷 jamais desistir,0,Não-ofensivo,Não-ofensivo
"Esse sim é um Ministro da Fazenda, não aquele ypiranga de meia tigela",1,Ofensivo,Ofensivo
Cada uma viu ninguém merece já chega,0,Não-ofensivo,Não-ofensivo
"Pra qualquer Zé Mané é cadeia, todo rigor da lei, já pra bandido que arrasa o país, que desvia milhões, bilhões de reais de dinheiro público, que faz falta nos hospitais, nas creches, na segurança, aí esses canalhas não fazem nada, ou melhor, são totalmente coniventes e até participantes. Querida @carla.zambelli acho que o presidente deveria entregar o país para o Exército, só assim esse Congresso satânico seria fechado, o STF destituído e esses canalhas presos ou expulsos do Brasil. Não vejo outra saída.",1,Ofensivo,Ofensivo
Ninguém vai calar essa imundice?,1,Ofensivo,Ofensivo
Depravado e escroto 😬😬😬,1,Ofensivo,Ofensivo
"Vão colocar a #globolixo, #bandlixo e #folhadesaopaulolixo na cadeia?",1,Ofensivo,Ofensivo
O próximo a perder será o Trump👐👐,0,Não-ofensivo,Não-ofensivo
"Nojo!!!! Mas a família tradicional brasileira adora, não é? Muita hipocrisia!!! 🤮🤮🤮",1,Ofensivo,Não-ofensivo
"Tem que divulgar a lista dos parlamentares que derrubaram o veto, e o povo tem que fazer barulho e nas próximas eleições derrubar a todos eles nas urnas, é hora de dar um basta em tudo isso.",0,Não-ofensivo,Não-ofensivo
Golpistas e agora os facistas..,1,Ofensivo,Ofensivo
"ué @carla.zambelli , nera pra parar de falar e dar hibope pra essa daí?? você nos pediu isso e agira ta aí, fazendo o que ela quer .",0,Não-ofensivo,Ofensivo
#globolixo gosta de passar uma vergonha! 😂😂😂😂,1,Ofensivo,Ofensivo
Esta foto é demais. Dois grandes mestres .❤️❤️❤️❤️👏👏👏,0,Não-ofensivo,Não-ofensivo
OS HOMENS BOLSONARO TODOS SÃO LINDOS PUXOU O PAI,0,Não-ofensivo,Ofensivo
"Noh coisa feia duas deputadas do mesmo partido , com essas brigas sem fundamento.",0,Não-ofensivo,Não-ofensivo
ESSE GOVERNO É O PIOR DE TODOS !!!! VOCÊ E SUA TURMA NÃO MERECEM ESTAR AI! VOCÊ É PODRE,1,Ofensivo,Ofensivo
"Falso Cristão , nenhuma novidade, com sua dentadura da vaidade...",1,Ofensivo,Ofensivo
Nem sei mais o que falar.,0,Não-ofensivo,Não-ofensivo
Parabéns senhor governador Tarcísio de Freitas o melhor governador de todos os tempos 🇧🇷🇧🇷🇧🇷 Deus o abençoe e proteja sempre 👏👏👏,0,Não-ofensivo,Não-ofensivo
Unidos venceremos!,0,Não-ofensivo,Não-ofensivo
"Bom e assim , xupa bolsomions .....papaguns",1,Ofensivo,Ofensivo
Esse ladrão tem que voltar pra onde ele nunca deveria ter saído,1,Ofensivo,Ofensivo
Ela é ótima jornalista 🌺,0,Não-ofensivo,Não-ofensivo
Gasolina com preço surreal e no mercado as coisas cada vez mais caro... E políticos cada vez mais rico. Só safado,1,Ofensivo,Ofensivo
"Porém, ele está certo, bandidos tem q ser tratados como bandido. AI-que dor.🇧🇷🇧🇷🌴🌴",1,Ofensivo,Ofensivo
Realmente a hipocrisia está estampada na cara de pau 👎👎👎👎,1,Ofensivo,Não-ofensivo
Que orgulho olha a postura desses alunos 🇧🇷🇧🇷🇧🇷🇧🇷❤️🙏💓💓💓,0,Não-ofensivo,Não-ofensivo
Maravilhoso! Nosso futuro presidente!!!,0,Não-ofensivo,Não-ofensivo
Parabéns Governador Tarcísio você representa o povo Brasileiro do bem.,0,Não-ofensivo,Não-ofensivo
Dilma jumenta,1,Ofensivo,Ofensivo
"A sua pena do Brasil a gente dispensa , porque voce nunca expressou nenhuma pena quando seus amigos saqueavam o Pais criando a maior crise institucional no Brasil com milhões de desempregados",1,Ofensivo,Ofensivo
Essa culpa eu não carrego e me admira muito que tem pessoa que acham que é o certo.....depois não reclamem de trabalhar de graça .....,0,Não-ofensivo,Não-ofensivo
Esse cara só evacua pela boca?,1,Ofensivo,Ofensivo
Juntando duas excelência!!,0,Não-ofensivo,Não-ofensivo
O que é isso? É a luxuria em forma de homem?,0,Não-ofensivo,Ofensivo
Tentando entender a relação Argentina - RS além da proximidade geográfica.,0,Não-ofensivo,Não-ofensivo
Tem que acabar com este verme e expulsar comunistas,1,Ofensivo,Ofensivo
"Poxa, era só ele sair do armário... quem sabe passava essa raivinha toda.",1,Ofensivo,Ofensivo
"Seria muito bom voltar a trabalhar e vc e ele ou quer quem seja, parar de fofoquinha",1,Ofensivo,Ofensivo
Parabéns aos argentinos por ter escolhido o lado certo,0,Não-ofensivo,Não-ofensivo
"Bolsonaro tem razão , essa Greta é uma pirralha mimada",1,Ofensivo,Ofensivo
Melhor coisa do mundo gente imparcial 😍,0,Não-ofensivo,Não-ofensivo
Nunca vi um presidente não mandar no país e não ser respeitado em suas decisões,0,Não-ofensivo,Não-ofensivo
Ansiosa pra assistir!,0,Não-ofensivo,Não-ofensivo
Bem vindos todos os ermanos!!!!😍😍,0,Não-ofensivo,Não-ofensivo
